Fecha Bajada,ID,Consulta1[CUIT],Consulta1[NombreDist],Consulta1[Fechacreacion],Consulta1[TipoCuenta],Consulta1[Direccion],Consulta1[Ciudad],Consulta1[Provincia_txt],Consulta1[CP],Consulta1[SalesDistrict],Consulta1[SalesDistrict_txt],Consulta1[SalesOffice],Consulta1[SalesOffice_txt],Consulta1[SalesGroup],Consulta1[SalesGroup_txt],Consulta1[CustomerGroup],Consulta1[CustomerGroup_txt],exists_in_tms
2026-03-09,3906378,30560702597,GRANEL SUR SA,2024-05-23T00:00:00,ShipTo,CALLE 7 170 - ACCESO BASE AEREA,TANDIL,Buenos Aires,7000,E00024,C - S - SUR,E108,S - SUR 1 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,False
2026-03-09,3925971,30567668661,RURAL CERES SA,2025-12-18T00:00:00,ShipTo,RUTA PROV 72 ACCESO ORENSE,ORENSE,Buenos Aires,7503,E00024,C - S - SUR,E108,S - SUR 1 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,False
2026-03-09,3906587,30712368876,SOLUCIONES ALDEBARAN AGRO SRL,2024-05-27T00:00:00,ShipTo,JUANA AZURDUY KM 70,LAS LAJITAS,Salta,4449,E00025,C - S - NUCLEO,E114,S - NUCLEO 2 - C,E40,0040 Central Maipu,EV,Dist. Selecta PLUS,False
2026-03-09,1889758,30710268998,TERRA SALTO SRL,2008-03-06T00:00:00,SoldTo,AV ITALIA 399 (ESQ SAN JUAN),SALTO,Buenos Aires,2741,E00035,I - S - NUCLEO,E155,S - NUCLEO 4 - I,EYF,0730 TERRA SALTO SRL,E2,Centro de Soluciones,False
2026-03-09,3360153,30537721274,TOMAS HNOS Y CIA SA,2012-07-13T00:00:00,ShipTo,RUTA 33 â€“ KM 324,TRENQUE LAUQUEN,Buenos Aires,6400,E00025,C - S - NUCLEO,E115,S - NUCLEO 3 - C,E40,0040 Central Maipu,ET,Distribuidor Regiona,False
