Fecha Bajada,ID,Consulta1[CUIT],Consulta1[NombreDist],Consulta1[Fechacreacion],Consulta1[TipoCuenta],Consulta1[Direccion],Consulta1[Ciudad],Consulta1[Provincia_txt],Consulta1[CP],Consulta1[SalesDistrict],Consulta1[SalesDistrict_txt],Consulta1[SalesOffice],Consulta1[SalesOffice_txt],Consulta1[SalesGroup],Consulta1[SalesGroup_txt],Consulta1[CustomerGroup],Consulta1[CustomerGroup_txt],exists_in_tms
2026-03-02,3908067,30709406066,F D AGRO SRL,2024-07-16T00:00:00,ShipTo,RUTA 7 KM 262.5,JUNIN,Buenos Aires,6000,E00025,C - S - NUCLEO,E115,S - NUCLEO 3 - C,E40,0040 Central Maipu,EV,Dist. Selecta PLUS,True
2026-03-02,3080570,30710844778,FOCSEED SA,2009-07-27T00:00:00,SoldTo,BELGRANO 463 PISO PB DPTO B,RIO CUARTO,Cordoba,5800,E00038,I - S - RIO IV & SAN,E170,S-RIO IV&S.LUIS 4-I,EUM,0632 FOCSEED SA,E2,Centro de Soluciones,True
2026-03-02,3080571,30710844778,FOCSEED SA,2009-07-27T00:00:00,SoldTo,CALLE PUBLICA 6025,RIO CUARTO,Cordoba,5807,E00038,I - S - RIO IV & SAN,E170,S-RIO IV&S.LUIS 4-I,EWF,0678 FOCSEED SA,E2,Centro de Soluciones,True
2026-03-02,3648915,30710844778,FOCSEED SA,2017-08-10T00:00:00,ShipTo,CALLE PUBLICA 6025,RIO CUARTO,Cordoba,5807,E00038,I - S - RIO IV & SAN,E170,S-RIO IV&S.LUIS 4-I,EUM,0632 FOCSEED SA,E2,Centro de Soluciones,True
2026-03-02,3928228,30710844778,FOCSEED SA - DEPOSITO EXIMIA,2026-02-19T00:00:00,ShipTo,CALLE PUBLICA 6025,RIO CUARTO,Cordoba,5807,E00038,I - S - RIO IV & SAN,E170,S-RIO IV&S.LUIS 4-I,EWF,0678 FOCSEED SA,E2,Centro de Soluciones,True
2026-03-02,3347993,30709014990,FULLAGRO SA,2012-04-17T00:00:00,SoldTo,CONSTITUCION S/N - PARQUE INDUSTRIA,TOLEDO,Cordoba,5123,E00021,C - N - CENTRO,E097,N - CENTRO 5 - C,E40,0040 Central Maipu,EV,Dist. Selecta PLUS,True
2026-03-02,3640921,30709014990,FULLAGRO SA,2017-06-16T00:00:00,ShipTo,RUTA 9 NORTE KM 868,RAYO CORTADO,Cordoba,5246,E00021,C - N - CENTRO,E097,N - CENTRO 5 - C,E40,0040 Central Maipu,EV,Dist. Selecta PLUS,True
2026-03-02,3643434,30709014990,FULLAGRO SA,2017-06-29T00:00:00,ShipTo,ZONA RURAL,SACHAYOJ,Santiago del Estero,3731,E00021,C - N - CENTRO,E097,N - CENTRO 5 - C,E40,0040 Central Maipu,EV,Dist. Selecta PLUS,True
2026-03-02,3763844,30709014990,FULLAGRO SA,2020-05-28T00:00:00,ShipTo,"RUTA PROVINCIAL 65, KM 201",DUDIGNAC,Buenos Aires,6505,E00021,C - N - CENTRO,E097,N - CENTRO 5 - C,E40,0040 Central Maipu,EV,Dist. Selecta PLUS,True
2026-03-02,3782587,30709014990,FULLAGRO SA,2021-03-30T00:00:00,ShipTo,ALMAFUERTE 1120,VENADO TUERTO,Santa Fe,2600,E00021,C - N - CENTRO,E097,N - CENTRO 5 - C,E40,0040 Central Maipu,EV,Dist. Selecta PLUS,True
2026-03-02,3784527,30709014990,FULLAGRO SA,2021-05-11T00:00:00,ShipTo,ZONA RURAL,DESPENADEROS,Cordoba,5121,E00021,C - N - CENTRO,E097,N - CENTRO 5 - C,E40,0040 Central Maipu,EV,Dist. Selecta PLUS,True
2026-03-02,1814158,30708742798,FULLAGRO SRL,2004-12-17T00:00:00,SoldTo,AVDA GARCIA SALINAS 2225,TRENQUE LAUQUEN,Buenos Aires,6400,E00036,I - S - OESTE,E159,S - OESTE 3 - I,ETF,0599 Fullagro SRL,E2,Centro de Soluciones,True
2026-03-02,1803233,30571702246,FUMISEM SA,2004-12-17T00:00:00,SoldTo,AV 51 Y CALLE 34,VILLA CANAS,Santa Fe,2607,E00033,I - N - NUCLEO,E146,N - NUCLEO 5 - I,E11,0011 Fumisen SRL,E2,Centro de Soluciones,True
2026-03-02,3713654,30571702246,FUMISEM SA,2019-03-07T00:00:00,ShipTo,RUTA 94 KM 27,VILLA CANAS,Santa Fe,2607,E00033,I - N - NUCLEO,E146,N - NUCLEO 5 - I,E11,0011 Fumisen SRL,E2,Centro de Soluciones,True
2026-03-02,3927750,30571702246,FUMISEM SA - DEPOSITO EXIMIA,2026-02-12T00:00:00,ShipTo,RUTA 94 KM 27,VILLA CANAS,Santa Fe,2607,E00033,I - N - NUCLEO,E146,N - NUCLEO 5 - I,E11,0011 Fumisen SRL,E2,Centro de Soluciones,True
2026-03-02,1805267,30641285265,GALIGNIANA AGROQUIMICA S R L,2004-12-17T00:00:00,SoldTo,LISANDRO DE LA TORRE 110,TUNUYAN,Mendoza,5560,E00042,Gerencia F&V,E193,CUYO F&V,E40,0040 Central Maipu,AA,Selecta Fresh,True
2026-03-02,3261214,27265022982,GARCIA LORENA ELIZABETH,2011-01-26T00:00:00,SoldTo,BOULEVARD HELGUERA 128,ROJAS,Buenos Aires,2705,E00025,C - S - NUCLEO,E116,S - NUCLEO 4 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,True
